                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.91754,                0.81959,                 1.0916,                0.66189,                0.18691,                0.30217,                0.16865,                 1.6182,                 1.5487,                 1.5526,             0.00025309,             0.00025309,             0.00025309
                     81,                0.87823,                0.78063,                 1.0605,                0.70429,                0.22081,                0.31932,                0.18187,                 1.5937,                 1.5381,                 1.5343,             0.00024209,             0.00024209,             0.00024209
                     82,                0.89401,                0.77795,                 1.0766,                0.73608,                0.25303,                0.35212,                0.21233,                 1.5848,                 1.5136,                 1.5312,             0.00023109,             0.00023109,             0.00023109
                     83,                0.87461,                0.75936,                 1.0561,                0.76837,                0.32833,                0.37406,                0.23033,                 1.5783,                 1.4982,                 1.5334,             0.00022009,             0.00022009,             0.00022009
                     84,                0.88794,                0.76835,                 1.0594,                0.36484,                0.31974,                 0.3628,                0.22463,                 1.5846,                  1.471,                 1.5324,             0.00020909,             0.00020909,             0.00020909
                     85,                 0.8941,                0.75542,                 1.0552,                0.40384,                0.39636,                0.36651,                 0.2289,                 1.5778,                 1.4475,                 1.5229,             0.00019809,             0.00019809,             0.00019809
                     86,                0.90826,                0.77421,                 1.0633,                0.38041,                0.36667,                0.36665,                0.22837,                 1.5822,                 1.4149,                 1.5272,             0.00018709,             0.00018709,             0.00018709
                     87,                0.88146,                0.76227,                 1.0612,                0.66106,                0.36494,                0.36566,                0.23031,                 1.5721,                 1.3939,                 1.5172,             0.00017609,             0.00017609,             0.00017609
                     88,                0.91586,                0.74251,                 1.0787,                0.65814,                0.36667,                0.39853,                0.26023,                 1.5531,                 1.3975,                  1.501,             0.00016509,             0.00016509,             0.00016509
                     89,                0.87628,                0.73126,                 1.0534,                0.61821,                0.36101,                0.39861,                0.25916,                 1.5701,                 1.3994,                 1.5082,              0.0001541,              0.0001541,              0.0001541
