                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.0687,                0.98712,                 1.1628,                0.91073,                0.27514,                0.34652,                0.19395,                 1.5467,                 1.4499,                 1.4039,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.0565,                 1.0326,                 1.1646,                0.79091,                0.23937,                0.34146,                0.19169,                 1.5404,                 1.4619,                  1.391,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.0686,                 1.0051,                 1.1667,                    0.8,                0.24511,                0.35424,                0.20282,                 1.5571,                 1.4842,                 1.4007,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.0561,                 1.0311,                 1.1583,                0.80029,                0.24506,                0.33638,                0.18658,                 1.5477,                 1.4483,                 1.4001,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.0649,                0.99569,                 1.1683,                0.76384,                0.26924,                0.31577,                0.17264,                  1.537,                 1.4281,                  1.392,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.0494,                0.97031,                 1.1587,                0.75486,                0.28333,                0.30698,                0.17191,                 1.5289,                 1.4626,                 1.3861,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.0198,                0.91816,                 1.1401,                0.73684,                0.28057,                0.30295,                0.17314,                 1.5225,                 1.5042,                 1.3842,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.0823,                  1.014,                 1.1718,                0.73977,                0.27471,                0.32977,                0.19183,                 1.5332,                 1.5331,                  1.395,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.0647,                0.93745,                 1.1512,                0.79675,                0.26954,                0.34309,                0.19904,                 1.5324,                 1.5139,                  1.395,             0.00047306,             0.00047306,             0.00047306
                     61,                0.99435,                0.94532,                 1.1081,                0.94232,                0.25828,                0.35554,                0.20349,                  1.536,                 1.4794,                 1.4116,             0.00046206,             0.00046206,             0.00046206
                     62,                0.99194,                0.92089,                 1.1314,                0.50255,                0.27471,                0.34736,                 0.2036,                 1.5358,                 1.4665,                 1.4165,             0.00045107,             0.00045107,             0.00045107
                     63,                 0.9842,                0.88424,                 1.1045,                0.54242,                0.30882,                 0.3496,                0.21485,                 1.5158,                 1.5223,                 1.4096,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.0487,                 0.9789,                 1.1481,                0.30905,                0.35287,                 0.3498,                 0.2106,                 1.5181,                 1.5502,                 1.4114,             0.00042907,             0.00042907,             0.00042907
                     65,                0.95341,                0.87583,                    1.1,                0.25922,                0.31641,                0.34254,                0.20796,                 1.5108,                 1.5294,                 1.3988,             0.00041807,             0.00041807,             0.00041807
                     66,                0.95463,                0.86117,                 1.0982,                0.31928,                0.42746,                0.35084,                0.21202,                 1.5288,                 1.4689,                 1.4104,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.0003,                0.88716,                 1.1294,                 0.3058,                0.44033,                0.35061,                   0.21,                 1.5393,                 1.4011,                 1.4138,             0.00039607,             0.00039607,             0.00039607
                     68,                0.99296,                0.89908,                 1.1189,                0.29912,                0.34224,                0.34533,                0.21424,                  1.513,                 1.3756,                 1.3908,             0.00038507,             0.00038507,             0.00038507
                     69,                0.96237,                0.90221,                 1.1054,                 0.3408,                0.28619,                0.32069,                0.20237,                 1.4978,                 1.3923,                 1.3879,             0.00037407,             0.00037407,             0.00037407
                     70,                0.92123,                 0.8421,                 1.0867,                 0.3581,                0.32196,                0.32075,                0.19815,                 1.5344,                 1.4326,                 1.4175,             0.00036307,             0.00036307,             0.00036307
                     71,                0.89288,                0.84738,                 1.0733,                0.32575,                0.28161,                0.31552,                0.19057,                 1.5529,                 1.4324,                 1.4378,             0.00035208,             0.00035208,             0.00035208
                     72,                0.97715,                0.85828,                 1.0929,                0.28075,                0.31983,                0.32298,                0.19616,                 1.5301,                 1.4196,                   1.43,             0.00034108,             0.00034108,             0.00034108
                     73,                0.93621,                0.89221,                 1.0961,                0.29095,                0.38357,                0.30915,                0.19179,                 1.5237,                 1.4244,                  1.429,             0.00033008,             0.00033008,             0.00033008
                     74,                0.95617,                0.85664,                 1.0838,                 0.3389,                0.39801,                0.32306,                0.19583,                 1.5257,                 1.4281,                 1.4325,             0.00031908,             0.00031908,             0.00031908
                     75,                0.94066,                0.85788,                 1.1087,                0.33727,                0.39484,                0.33047,                0.20543,                 1.5238,                 1.4773,                 1.4338,             0.00030808,             0.00030808,             0.00030808
                     76,                0.89718,                0.78917,                 1.0546,                 0.3386,                0.38472,                0.34642,                0.21657,                 1.5219,                 1.5033,                 1.4297,             0.00029708,             0.00029708,             0.00029708
                     77,                0.89247,                0.78298,                  1.061,                0.34539,                0.34518,                0.34321,                0.21325,                 1.5339,                 1.4496,                 1.4269,             0.00028608,             0.00028608,             0.00028608
                     78,                0.90556,                0.80343,                 1.0675,                0.37944,                0.35632,                0.34126,                    0.2,                  1.547,                 1.3836,                 1.4222,             0.00027508,             0.00027508,             0.00027508
                     79,                0.90811,                 0.7811,                 1.0589,                0.33604,                0.32297,                0.33615,                0.18949,                 1.5391,                 1.3325,                 1.4063,             0.00026408,             0.00026408,             0.00026408
                     80,                0.93014,                0.83425,                 1.1031,                0.29848,                0.33534,                0.33421,                0.18408,                 1.5364,                 1.3198,                 1.4178,             0.00025309,             0.00025309,             0.00025309
                     81,                0.88567,                0.77276,                 1.0496,                0.34994,                0.28678,                0.32936,                0.18524,                 1.5214,                 1.3056,                 1.4089,             0.00024209,             0.00024209,             0.00024209
                     82,                 0.8828,                0.80511,                 1.0682,                0.60746,                0.28678,                0.32949,                0.18967,                  1.503,                 1.3091,                 1.4062,             0.00023109,             0.00023109,             0.00023109
                     83,                0.86201,                0.74936,                 1.0429,                 0.6578,                0.28161,                0.32609,                0.19093,                 1.4992,                 1.3195,                 1.4036,             0.00022009,             0.00022009,             0.00022009
                     84,                0.89472,                0.81381,                 1.0612,                0.64376,                0.28161,                0.32045,                0.17704,                 1.5379,                 1.3204,                 1.4304,             0.00020909,             0.00020909,             0.00020909
                     85,                 0.8949,                0.75756,                  1.054,                0.61764,                0.27816,                0.31863,                0.17455,                 1.5434,                 1.3185,                 1.4424,             0.00019809,             0.00019809,             0.00019809
                     86,                0.88639,                0.79125,                  1.037,                0.61823,                0.27471,                  0.325,                0.17295,                 1.5393,                 1.3015,                 1.4441,             0.00018709,             0.00018709,             0.00018709
                     87,                0.87407,                0.76496,                 1.0553,                0.28949,                0.30266,                0.32851,                0.18535,                 1.5174,                 1.2988,                 1.4351,             0.00017609,             0.00017609,             0.00017609
                     88,                0.89102,                0.75281,                 1.0532,                0.30794,                0.31638,                 0.3265,                0.18654,                 1.5102,                 1.2975,                  1.436,             0.00016509,             0.00016509,             0.00016509
                     89,                0.87418,                0.73255,                  1.038,                0.24567,                0.36322,                0.33948,                0.20311,                 1.5056,                 1.3103,                 1.4366,              0.0001541,              0.0001541,              0.0001541
                     90,                 0.8784,                 0.7816,                  1.038,                0.25664,                0.36494,                0.33821,                0.20157,                 1.5144,                 1.3147,                  1.438,              0.0001431,              0.0001431,              0.0001431
                     91,                 1.0544,                 1.2121,                 1.1022,                0.31945,                0.52703,                0.35253,                0.20456,                  1.526,                 1.3283,                 1.4423,              0.0001321,              0.0001321,              0.0001321
                     92,                 1.0129,                  1.159,                 1.1032,                0.30645,                0.52471,                0.34412,                 0.2037,                 1.5319,                 1.3443,                 1.4547,              0.0001211,              0.0001211,              0.0001211
                     93,                0.93402,                0.99062,                 1.0673,                 0.3122,                0.54556,                0.36474,                0.21602,                 1.5393,                 1.3767,                 1.4663,              0.0001101,              0.0001101,              0.0001101
                     94,                0.90501,                0.90989,                 1.0277,                0.31521,                0.42414,                0.37196,                 0.2253,                 1.5622,                 1.4527,                 1.4942,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 0.9058,                0.90848,                 1.0247,                0.38323,                0.41379,                0.40368,                0.25012,                  1.595,                 1.5373,                 1.5235,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.93278,                 0.9228,                 1.0182,                0.75056,                0.35833,                0.41962,                0.25823,                 1.6215,                 1.6146,                 1.5447,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                  0.911,                0.86814,                 1.0531,                0.78016,                0.33678,                0.40982,                 0.2532,                 1.6236,                 1.6397,                 1.5503,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.83094,                 0.7903,                0.99278,                0.67938,                0.30312,                0.35948,                0.22285,                 1.6044,                 1.6464,                 1.5372,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.89257,                0.81573,                 1.0034,                0.65893,                0.30287,                0.35324,                0.21376,                 1.5954,                 1.6178,                 1.5269,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.84549,                0.76985,                 1.0029,                 0.3369,                0.36695,                0.34099,                0.20336,                 1.5625,                 1.5414,                 1.4969,             3.3108e-05,             3.3108e-05,             3.3108e-05
